Região	Unidade	Latitude	Longitude	Altitude 	Altitude	Altitude	Fator 
CENTRO-OESTE	GO	-18,3884081	-49,0687672	523,6301	511,93	-11,7	-11,67
CENTRO-OESTE	GO	-17,1499275	-50,017456	597,468	589,237	-8,23	-8,29
CENTRO-OESTE	GO	-18,2165898	-49,7374279	630,6911	621,797	-8,89	-8,97
CENTRO-OESTE	GO	-18,7697159	-51,3481388	481,6381	474,547	-7,09	-7,25
CENTRO-OESTE	GO	-17,5745672	-51,0908541	807,3909	801,734	-5,66	-5,63
CENTRO-OESTE	GO	-17,1284195	-51,2242959	851,3262	846,014	-5,31	-5,34
CENTRO-OESTE	GO	-17,3572168	-52,679413	858,7061	855,003	-3,7	-3,66
CENTRO-OESTE	GO	-15,8644467	-50,8691884	322,4755	315,915	-6,56	-6,53
CENTRO-OESTE	GO	-15,9338721	-50,1400324	490,57	482,844	-7,73	-7,72
CENTRO-OESTE	GO	-15,8051168	-50,1207567	523,345	515,346	-8	-7,98
CENTRO-OESTE	GO	-14,9525993	-50,5783406	313,1888	304,376	-8,81	-8,77
CENTRO-OESTE	GO	-14,4931662	-50,0644912	417,2095	407,44	-9,77	-9,96
CENTRO-OESTE	GO	-13,2729941	-50,1625731	331,9163	319,143	-12,77	-12,81
CENTRO-OESTE	GO	-16,9311748	-48,3707941	957,7375	946,032	-11,71	-11,72
CENTRO-OESTE	GO	-13,4352651	-49,1445341	397,3022	384,915	-12,39	-12,41
CENTRO-OESTE	GO	-16,5884707	-50,0688146	654,0247	646,513	-7,51	-7,52
CENTRO-OESTE	GO	-14,7592203	-50,53904	345,038	336,024	-9,01	-8,97
CENTRO-OESTE	GO	-15,2671046	-51,1792235	273,163	266,314	-6,85	-6,91
CENTRO-OESTE	GO	-16,3936256	-51,0633944	551,9805	546,468	-5,51	-5,53
CENTRO-OESTE	GO	-16,4384472	-51,8137488	357,3124	352,152	-5,16	-5,21
CENTRO-OESTE	GO	-18,1251592	-51,8937613	835,1565	830,365	-4,79	-4,81
CENTRO-OESTE	GO	-18,6983103	-52,0729095	733,2171	728,088	-5,13	-5,13
CENTRO-OESTE	GO	-16,9420884	-51,8113915	724,1403	719,43	-4,71	-4,74
CENTRO-OESTE	GO	-18,9994247	-50,5407522	454,2859	446,365	-7,92	-7,82
CENTRO-OESTE	GO	-17,7044222	-49,4769319	555,2091	544,675	-10,53	-10,55
CENTRO-OESTE	GO	-17,691397	-49,813279	564,9158	555,595	-9,32	-9,31
CENTRO-OESTE	GO	-17,3077091	-49,3907082	724,0292	713,202	-10,83	-10,75
CENTRO-OESTE	GO	-17,3008295	-48,2933367	695,7339	683,655	-12,08	-12,05
CENTRO-OESTE	GO	-17,7396131	-48,1618071	774,1519	761,801	-12,35	-12,31
CENTRO-OESTE	GO	-18,1473701	-48,0513824	839,6899	827,905	-11,78	-11,79
CENTRO-OESTE	GO	-17,4285876	-47,7972949	925,7018	913,651	-12,05	-12,08
CENTRO-OESTE	GO	-17,8364945	-47,7728999	908,4548	896,776	-11,68	-11,69
CENTRO-OESTE	GO	-17,1349996	-48,8283961	941,6512	929,986	-11,67	-11,8
CENTRO-OESTE	GO	-17,3970426	-50,3799676	534,6094	527,786	-6,82	-6,92
CENTRO-OESTE	GO	-16,900811	-49,640491	591,0679	581,494	-9,57	-9,5
CENTRO-OESTE	GO	-17,8883814	-48,5737009	764,743	751,956	-12,79	-12,8
CENTRO-OESTE	GO	-17,9724064	-48,6390481	643,5694	630,76	-12,81	-12,78
CENTRO-OESTE	GO	-17,6464032	-48,7062057	754,7929	742,242	-12,55	-12,49
CENTRO-OESTE	GO	-17,0928052	-49,8597337	619,2943	610,395	-8,9	-8,78
CENTRO-OESTE	GO	-18,5625314	-51,1342254	516,9223	509,544	-7,38	-7,36
CENTRO-OESTE	GO	-18,7611906	-50,943272	497,346	489,548	-7,8	-7,76
CENTRO-OESTE	GO	-18,181501	-49,2907981	600,9025	589,773	-11,13	-11,09
CENTRO-OESTE	GO	-18,0079187	-49,3625821	791,0886	780,263	-10,83	-10,82
CENTRO-OESTE	GO	-17,7956398	-49,5771597	821,331	811,256	-10,08	-10,12
CENTRO-OESTE	GO	-16,7572608	-49,1250029	743,8189	733,115	-10,7	-10,57
CENTRO-OESTE	GO	-16,816715	-49,0557196	716,471	705,59	-10,88	-10,81
CENTRO-OESTE	GO	-16,7927906	-49,5063544	792,0661	782,313	-9,75	-9,76
CENTRO-OESTE	GO	-16,6250165	-49,065207	904,2596	893,969	-10,29	-10,28
CENTRO-OESTE	GO	-16,6198103	-48,9691351	939,0629	928,612	-10,45	-10,51
CENTRO-OESTE	GO	-16,896637	-48,9877591	787,8827	776,717	-11,17	-11,13
CENTRO-OESTE	GO	-17,0208302	-49,2220345	766,0213	755,014	-11,01	-10,94
CENTRO-OESTE	GO	-16,9350334	-49,2527023	903,3305	892,712	-10,62	-10,7
CENTRO-OESTE	GO	-14,3212326	-48,1699803	514,3758	498,919	-15,46	-15,48
CENTRO-OESTE	GO	-15,1028702	-48,2305106	609,5078	594,903	-14,6	-14,51
CENTRO-OESTE	GO	-14,986313	-47,9967414	852,1228	837,622	-14,5	-14,5
CENTRO-OESTE	GO	-14,2298767	-48,1440701	550,6343	535,199	-15,44	-15,48
CENTRO-OESTE	GO	-14,4184397	-48,2304771	478,0504	462,754	-15,3	-15,29
CENTRO-OESTE	GO	-14,2273135	-47,8937488	699,604	683,943	-15,66	-15,6
CENTRO-OESTE	GO	-14,475223	-47,0951898	455,8856	439,046	-16,84	-16,7
CENTRO-OESTE	GO	-14,5898449	-47,270674	483,6878	467,194	-16,49	-16,37
CENTRO-OESTE	GO	-14,0776199	-47,1088371	458,1244	441,334	-16,79	-16,72
CENTRO-OESTE	GO	-14,0806965	-47,3090793	646,3441	630,103	-16,24	-16,29
CENTRO-OESTE	GO	-14,7053497	-47,5251598	1001,0578	985,873	-15,18	-15,34
CENTRO-OESTE	GO	-13,9689871	-47,4845685	1539,2204	1523,794	-15,43	-15,75
CENTRO-OESTE	GO	-13,2154432	-48,2073216	345,9654	331,507	-14,46	-14,4
CENTRO-OESTE	GO	-15,7296886	-48,2481136	1158,4034	1146,011	-12,39	-12,42
CENTRO-OESTE	GO	-15,5523336	-47,2809594	933,856	920,083	-13,77	-13,77
CENTRO-OESTE	MS	-20,4838974	-54,7875973	528,9439	531,331	2,39	2,37
CENTRO-OESTE	MS	-20,0519893	-51,8461119	482,0634	475,342	-6,72	-6,72
CENTRO-OESTE	MS	-20,5554049	-52,4999399	323,2384	317,679	-5,56	-5,55
CENTRO-OESTE	MS	-19,6160841	-52,5099986	379,3614	373,252	-6,11	-6,06
CENTRO-OESTE	MS	-20,4291822	-55,3191999	194,9149	199,593	4,68	4,53
CENTRO-OESTE	MS	-19,7125195	-55,4112171	138,8521	144,259	5,41	5,38
CENTRO-OESTE	MS	-20,0622463	-55,6364253	152,3114	158,582	6,27	6,33
CENTRO-OESTE	MS	-19,7916007	-54,3674329	619,4949	619,951	0,46	0,56
CENTRO-OESTE	MS	-20,0990615	-54,4381046	551,8209	552,75	0,93	0,95
CENTRO-OESTE	MS	-17,982899	-54,2264082	381,3087	380,334	-0,97	-0,98
CENTRO-OESTE	MS	-18,8388303	-53,1363225	716,6084	712,881	-3,73	-3,83
CENTRO-OESTE	MS	-20,7296133	-56,6278922	398,2077	409,997	11,79	11,69
CENTRO-OESTE	MS	-21,6929126	-54,7075688	384,5959	386,637	2,04	1,97
CENTRO-OESTE	MS	-21,6308651	-55,569669	563,1249	569,769	6,64	6,64
CENTRO-OESTE	MS	-22,4706279	-55,400953	573,5314	579,989	6,46	6,39
CENTRO-OESTE	MS	-23,4575066	-55,158689	414,211	419,045	4,83	4,82
CENTRO-OESTE	MS	-23,5345678	-54,395352	364,9611	366,869	1,91	1,91
CENTRO-OESTE	MS	-22,6395328	-54,0414466	382,815	382,206	-0,61	-0,65
CENTRO-OESTE	MS	-22,3692595	-54,2089737	435,8452	435,734	-0,11	-0,02
CENTRO-OESTE	MS	-21,6232648	-53,6517208	403,55	401,315	-2,24	-2,22
CENTRO-OESTE	MS	-21,839886	-52,673203	352,7989	348,949	-3,85	-3,89
CENTRO-OESTE	MS	-18,1792446	-54,6376302	336,6231	337,582	0,96	1,03
CENTRO-OESTE	MS	-19,0002814	-57,6296147	143,0754	156,591	13,52	13,53
CENTRO-OESTE	MS	-22,4558418	-54,840447	416,0426	419,118	3,08	3,14
CENTRO-OESTE	MS	-23,2214146	-55,2073434	452,8563	457,982	5,13	5,14
CENTRO-OESTE	MS	-23,6759591	-55,394553	343,4589	349,418	5,96	5,96
CENTRO-OESTE	MS	-23,9795908	-55,0403344	418,6612	423,764	5,1	5,06
CENTRO-OESTE	MS	-23,7575801	-54,3060214	340,7572	343,006	2,25	2,28
CENTRO-OESTE	MS	-20,444709	-52,8760012	322,3918	317,169	-5,22	-5,17
CENTRO-OESTE	MS	-20,4642502	-54,6163554	538,6311	540,419	1,79	1,77
CENTRO-OESTE	MS	-20,8057486	-54,5186635	525,8194	527,127	1,31	1,3
CENTRO-OESTE	MS	-21,9028542	-56,3510673	278,0639	288,168	10,1	10,13
CENTRO-OESTE	MS	-22,1083031	-56,2235848	326,3298	335,613	9,28	9,25
CENTRO-OESTE	MS	-21,9732704	-56,8069818	305,1078	317,721	12,61	12,6
CENTRO-OESTE	MS	-21,6648489	-56,7321952	466,2496	478,734	12,48	12,41
CENTRO-OESTE	MS	-20,4355585	-56,0312679	176,6146	184,896	8,28	8,38
CENTRO-OESTE	MS	-19,4072178	-57,0483856	88,1901	100,793	12,6	12,51
CENTRO-OESTE	MS	-19,5479063	-57,235474	88,6869	101,867	13,18	13,14
CENTRO-OESTE	MS	-19,1390702	-54,9223524	386,1037	389,494	3,39	3,32
CENTRO-OESTE	MS	-19,1717264	-51,6174882	426,3956	419,498	-6,9	-6,86
CENTRO-OESTE	MS	-19,5084414	-51,2797598	420,9714	413,175	-7,8	-7,8
CENTRO-OESTE	MS	-19,920913	-51,1312176	445,5705	437,746	-7,82	-7,94
CENTRO-OESTE	MS	-20,4491986	-51,4999785	337,241	330,147	-7,09	-7,03
CENTRO-OESTE	MS	-20,6619624	-51,7949656	299,1252	292,496	-6,63	-6,53
CENTRO-OESTE	MS	-21,3323731	-52,0946415	330,2755	324,762	-5,51	-5,43
CENTRO-OESTE	MS	-21,0945664	-52,9792043	354,9825	350,754	-4,23	-4,21
CENTRO-OESTE	MS	-22,2215134	-53,3321825	407,9419	405,829	-2,11	-2,11
CENTRO-OESTE	MS	-21,5385493	-54,1764088	423,4711	423,081	-0,39	-0,37
CENTRO-OESTE	MS	-23,08511	-54,1930444	326,3922	326,538	0,15	0,22
CENTRO-OESTE	MS	-21,2188462	-55,9137845	279,807	287,918	8,11	8,06
CENTRO-OESTE	MS	-21,2219607	-56,3417114	268,0649	278,341	10,28	10,34
CENTRO-OESTE	MS	-19,2269605	-56,371192	106,9835	117,048	10,06	10,07
CENTRO-OESTE	MS	-19,3958717	-53,9203872	565,8961	564,126	-1,77	-1,72
CENTRO-OESTE	MS	-19,3031769	-52,7373553	517,3105	511,815	-5,5	-5,37
CENTRO-OESTE	MT	-12,6728393	-55,7943447	322,2588	319,193	-3,07	-3,12
CENTRO-OESTE	MT	-10,1852017	-54,9458594	292,8069	283,022	-9,78	-10,57
CENTRO-OESTE	MT	-13,8465854	-59,5563607	632,3092	645,808	13,5	13,59
CENTRO-OESTE	MT	-10,0758203	-55,5863491	251,4422	242,34	-9,1	-9,03
CENTRO-OESTE	MT	-9,9403054	-57,1338802	269,3026	264,576	-4,73	-4,51
CENTRO-OESTE	MT	-9,9113691	-56,0510788	300,203	292,48	-7,72	-7,84
CENTRO-OESTE	MT	-11,5355114	-57,4182386	257,0592	255,994	-1,07	-1,11
CENTRO-OESTE	MT	-11,2537184	-57,5083308	292,9633	290,018	-2,95	-2,92
CENTRO-OESTE	MT	-11,5322438	-56,7579635	313,4322	308,86	-4,57	-4,53
