http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Região;Unidade da Federação (UF);Latitude;Longitude
CENTRO-OESTE;GO;-16,7572608;-49,1250029
CENTRO-OESTE;GO;-16,8167150;-49,0557196
CENTRO-OESTE;GO;-16,7927906;-49,5063544
CENTRO-OESTE;GO;-16,6250165;-49,0652070
CENTRO-OESTE;GO;-16,6198103;-48,9691351
CENTRO-OESTE;GO;-16,8966370;-48,9877591
CENTRO-OESTE;GO;-17,0208302;-49,2220345
CENTRO-OESTE;GO;-16,9350334;-49,2527023
CENTRO-OESTE;GO;-14,3212326;-48,1699803
CENTRO-OESTE;GO;-15,1028702;-48,2305106
CENTRO-OESTE;GO;-14,9863130;-47,9967414
CENTRO-OESTE;GO;-14,2298767;-48,1440701
CENTRO-OESTE;GO;-14,4184397;-48,2304771
CENTRO-OESTE;GO;-14,2273135;-47,8937488
CENTRO-OESTE;GO;-14,4752230;-47,0951898
CENTRO-OESTE;GO;-14,5898449;-47,2706740
CENTRO-OESTE;GO;-14,0776199;-47,1088371
CENTRO-OESTE;GO;-14,0806965;-47,3090793
CENTRO-OESTE;GO;-14,7053497;-47,5251598
CENTRO-OESTE;GO;-13,9689871;-47,4845685
CENTRO-OESTE;GO;-13,2154432;-48,2073216
CENTRO-OESTE;GO;-15,7296886;-48,2481136
CENTRO-OESTE;GO;-15,5523336;-47,2809594
CENTRO-OESTE;MS;-20,4838974;-54,7875973
CENTRO-OESTE;MS;-20,0519893;-51,8461119
CENTRO-OESTE;MS;-20,5554049;-52,4999399
CENTRO-OESTE;MS;-19,6160841;-52,5099986
CENTRO-OESTE;MS;-20,4291822;-55,3191999
CENTRO-OESTE;MS;-19,7125195;-55,4112171
CENTRO-OESTE;MS;-20,0622463;-55,6364253
CENTRO-OESTE;MS;-19,7916007;-54,3674329
CENTRO-OESTE;MS;-20,0990615;-54,4381046
CENTRO-OESTE;MS;-17,9828990;-54,2264082
